Delphes classes imported
-------------------------------------->  100000 events have been loaded and are ready for analysis!!!!!!!!!!!
Raw number of events before full selection: 100000
Raw number of events that passed full selection: 49497 +- 222.479212512
Used cross section 1.65e-07 pb
Weighted number of events that passed full selection: 0.001053543645 +- 4.73547003832e-06
Bin range, Value
200.0-290.0, 0.000378660159186
290.0-380.0, 0.000239520100877
380.0-470.0, 0.000149463274283
470.0-560.0, 9.41009857343e-05
560.0-650.0, 6.08325317444e-05
650.0-740.0, 4.17611699959e-05
740.0-830.0, 2.74363646895e-05
830.0-920.0, 1.94757758436e-05
920.0-1010.0, 1.29412801471e-05
1010.0-1100.0, 9.10998005565e-06
1100.0-1190.0, 6.13007978245e-06
1190.0-1280.0, 4.27828490501e-06
1280.0-1370.0, 3.12889505949e-06
1370.0-1460.0, 1.61766001838e-06
1460.0-1550.0, 1.34095500925e-06
1550.0-1640.0, 1.08553501832e-06
1640.0-1730.0, 6.59834995531e-07
1730.0-1820.0, 5.95979997797e-07
1820.0-1910.0, 4.6827000233e-07
1910.0-2000.0, 2.97989998899e-07
